# Pathway Id	Pathway Name	Raw Accumulator	Impact Factor	Probability Pi	Probability Network	Corrected Accumulator	pValue	Adjusted pValue
path:hsa04210	Apoptosis - Enriched	-1.8453643578643575	1.2571085858585858	1.0	0.40679660169915044	-5.536093073593072	0.40679660169915044	1.0
path:hsa01524	Platinum drug resistance - Enriched	-1.7733333333333334	1.268	1.0	0.40679660169915044	-5.32	0.40679660169915044	1.0
path:hsa05169	Epstein-Barr virus infection - Enriched	-1.7500000000000004	1.225	1.0	0.40679660169915044	-5.250000000000002	0.40679660169915044	1.0
path:hsa05161	Hepatitis B - Enriched	-1.4666666666666666	1.2533333333333334	1.0	0.40679660169915044	-4.3999999999999995	0.40679660169915044	1.0
path:hsa04110	Cell cycle - Enriched	1.1900000000000006	1.349	1.0	0.40679660169915044	3.570000000000002	0.40679660169915044	1.0
path:hsa04211	Longevity regulating pathway - Enriched	-1.1119047619047615	1.3739251700680273	1.0	0.40679660169915044	-3.3357142857142845	0.40679660169915044	1.0
path:hsa04115	p53 signaling pathway - Enriched	-1.0227272727272723	1.1340909090909093	1.0	0.40679660169915044	-3.0681818181818166	0.40679660169915044	1.0
path:hsa04310	Wnt signaling pathway - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa05160	Hepatitis C - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05167	Kaposi sarcoma-associated herpesvirus infection - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05163	Human cytomegalovirus infection - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05166	Human T-cell leukemia virus 1 infection - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05016	Huntington disease - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa05012	Parkinson disease - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa04722	Neurotrophin signaling pathway - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa05220	Chronic myeloid leukemia - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa04137	Mitophagy - animal - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa05230	Central carbon metabolism in cancer - Enriched	-1.0	1.1	1.0	0.40679660169915044	-3.0	0.40679660169915044	1.0
path:hsa05214	Glioma - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05218	Melanoma - Enriched	1.0	1.3	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa04216	Ferroptosis - Enriched	1.0	1.1	1.0	0.40679660169915044	3.0	0.40679660169915044	1.0
path:hsa05165	Human papillomavirus infection - Enriched	0.8472222222222221	1.284722222222222	1.0	0.40679660169915044	2.541666666666666	0.40679660169915044	1.0
path:hsa05226	Gastric cancer - Enriched	-0.7777777777777779	1.1	1.0	0.40679660169915044	-2.333333333333334	0.40679660169915044	1.0
path:hsa05131	Shigellosis - Enriched	-0.5	1.15	1.0	0.40679660169915044	-1.5	0.40679660169915044	1.0
path:hsa04218	Cellular senescence - Enriched	0.07500000000000007	1.2075	1.0	0.40679660169915044	0.2250000000000002	0.40679660169915044	1.0
